Y Chromosome	"Y Chromosome	0	12	GO_ontology"	"[{""token"": ""Y Chromosome"", ""start_span"": 0, ""end_span"": 12, ""type"": ""GO_ontology""}]"
RAD51 paralogs in particular, including XRCC2, XRCC3, RAD51B, RAD51C and RAD51D, may function as a complex that actively promotes RAD51 assembly [ 31].	"complex	99	106	GO_ontology"	"[{""token"": ""complex"", ""start_span"": 99, ""end_span"": 106, ""type"": ""GO_ontology""}]"
The observation that BRCA2 localizes to damage - induced subnuclear foci with RAD51 seems consistent with the possibility that BRCA2 plays a positive role in assembly of the recombination complex [ 11].	"complex	188	195	GO_ontology"	"[{""token"": ""complex"", ""start_span"": 188, ""end_span"": 195, ""type"": ""GO_ontology""}]"
It should be relatively straightforward to determine whether the role of BRCA2 is limited to transporting RAD51 to the nucleus.	"nucleus	119	126	GO_ontology"	"[{""token"": ""nucleus"", ""start_span"": 119, ""end_span"": 126, ""type"": ""GO_ontology""}]"
If this were the case, addition of a nuclear localization signal to RAD51 should suppress the RAD51 - mediated phenotypes associated with a BRCA2 mutation.	"nuclear	37	44	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 37, ""end_span"": 44, ""type"": ""GO_ontology""}]"
In this model, BRCA2 is not required for assembly of functional complexes at damaged sites, only to prevent a substantial fraction of Rad51 from being sequestered in a nonfunctional form.	"complexes	64	73	GO_ontology"	"[{""token"": ""complexes"", ""start_span"": 64, ""end_span"": 73, ""type"": ""GO_ontology""}]"
BRCA2 is proposed to be required for Rad51 to assemble into functional recombinational repair complexes at sites of damage.	"complexes	94	103	GO_ontology"	"[{""token"": ""complexes"", ""start_span"": 94, ""end_span"": 103, ""type"": ""GO_ontology""}]"
Red fluorescence was often aggregated in what appeared to be perinuclear regions of the cytoplasm.	"perinuclear regions of the cytoplasm	61	97	GO_ontology"	"[{""token"": ""perinuclear regions of the cytoplasm"", ""start_span"": 61, ""end_span"": 97, ""type"": ""GO_ontology""}]"
In order to generate a DsRed variant that may be amenable to use in ES cells and mice, we recently introduced various sequences that direct nuclear localization to the DsRed coding region.	"nuclear	140	147	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 140, ""end_span"": 147, ""type"": ""GO_ontology""}]"
Similar patterns of innervation are obtained using acteylated tubulin immunocytochemistry ( Fig. 2b).	"tubulin	62	69	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 62, ""end_span"": 69, ""type"": ""GO_ontology""}]"
There is no specific loss of fibers to any vestibular endorgan, as visualized by DiI labeling ( a) or acetylated tubulin immunoreactivity ( b).	"tubulin	113	120	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 113, ""end_span"": 120, ""type"": ""GO_ontology""}]"
The pattern obtained with DiI tracing is identical to that obtained by acetylated tubulin immunoreactivity ( f, g).	"tubulin	82	89	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 82, ""end_span"": 89, ""type"": ""GO_ontology""}]"
Note the uniform staining with this antibody of all three rows of outer hair cells ( OHC) and the single row of inner hair cells ( IHC) in the wildtype ( a, c).	"antibody	36	44	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 36, ""end_span"": 44, ""type"": ""GO_ontology""}]"
Sections show the degree of differentiation of hair cells and their innervating fibers stained with tubulin immunocytochemistry ( arrow; e - h).	"tubulin	100	107	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 100, ""end_span"": 107, ""type"": ""GO_ontology""}]"
Note that tubulin - positive fibers can be traced to the immature cells until 6 months ( h).	"tubulin	10	17	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 10, ""end_span"": 17, ""type"": ""GO_ontology""}]"
Ears were subsequently reacted for acetylated tubulin to reveal the pattern of innervation in addition to the DiI tracing with a different technique as previously described [ 14].	"tubulin	46	53	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 46, ""end_span"": 53, ""type"": ""GO_ontology""}]"
MX generated the null mutation, bred all the mice used for this study and generated the statistical data and the immunocytochemical data with MyoVII, AM conducted the tract tracing studies of cochlear afferents and helped with the histological analysis and assembly of image plates, UP carried out the in situ hybridization for neurotrophins and assembled the plates for these data, BF wrote the manuscript, carried out most of the neuronal tracing and immunocytochemistry for acetylated tubulin and data presentation.	"tubulin	488	495	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 488, ""end_span"": 495, ""type"": ""GO_ontology""}]"
Annexin A7 is a Ca2 + - and phospholipid - binding protein expressed as a 47 and 51 kDa isoform, which is thought to be involved in membrane fusion processes.	"membrane	132	140	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 132, ""end_span"": 140, ""type"": ""GO_ontology""}]"
Recently the 47 kDa isoform has been identified in erythrocytes where it was proposed to be a key component in the process of the Ca2 + - dependent vesicle release, a process with which red blood cells might protect themselves against an attack by for example complement components.	"vesicle	148	155	GO_ontology"	"[{""token"": ""vesicle"", ""start_span"": 148, ""end_span"": 155, ""type"": ""GO_ontology""}]"
Also, the membrane organization appeared not to be disturbed as assessed using gradient fractionation studies.	"membrane	10	18	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 10, ""end_span"": 18, ""type"": ""GO_ontology""}]"
The results appear to rule out an important role of annexin A7 in membrane fusion processes occurring in red blood cells.	"membrane	66	74	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 66, ""end_span"": 74, ""type"": ""GO_ontology""}]"
The defects observed are however not compatible with a crucial role for annexin A7 in membrane fusion processes in these cell types.	"membrane	86	94	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 86, ""end_span"": 94, ""type"": ""GO_ontology""}]"
Furthermore, annexin A7 associates with lipid rafts [ 7].	"lipid rafts	40	51	GO_ontology"	"[{""token"": ""lipid rafts"", ""start_span"": 40, ""end_span"": 51, ""type"": ""GO_ontology""}]"
For annexin A7 a role for galectin - 3 trafficking, apoptosis regulation, and mitochondrial integrity was proposed [ 13].	"mitochondrial	78	91	GO_ontology"	"[{""token"": ""mitochondrial"", ""start_span"": 78, ""end_span"": 91, ""type"": ""GO_ontology""}]"
It is thought to regulate and stabilize membrane domains and to have a role in Ca2 + homeostasis and Ca2 + - dependent signaling pathways.	"membrane domains	40	56	GO_ontology"	"[{""token"": ""membrane domains"", ""start_span"": 40, ""end_span"": 56, ""type"": ""GO_ontology""}]"
There exist two types of vesicles, micro - and nanovesicles with a size of 180 nm and 60 nm, respectively.	"vesicles	25	33	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 25, ""end_span"": 33, ""type"": ""GO_ontology""}]"
Furthermore, they contain sorcin and annexin A7 attached to the lipid rafts.	"lipid rafts	64	75	GO_ontology"	"[{""token"": ""lipid rafts"", ""start_span"": 64, ""end_span"": 75, ""type"": ""GO_ontology""}]"
Salzer et al. recently reported the presence of the 47 kDa isoform of annexin A7 and its partner sorcin in micro - and nanovesicles derived from red blood cells where they are located in the lumen and are also enriched in membrane rafts [ 7].	"membrane	222	230	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 222, ""end_span"": 230, ""type"": ""GO_ontology""}]"
The resulting western blot was probed with mAb 203 - 217, visualization was by a secondary peroxidase coupled antibody followed by ECL.	"antibody	110	118	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 110, ""end_span"": 118, ""type"": ""GO_ontology""}]"
Annexin A7 is present in both vesicle types where it is more enriched in nanovesicles ( Fig. 2).	"vesicle	30	37	GO_ontology"	"[{""token"": ""vesicle"", ""start_span"": 30, ""end_span"": 37, ""type"": ""GO_ontology""}]"
It appears that annexin A7, although it has been described to fuse membranes, is not a key component in the process of the formation of red blood cell exovesicles.	"membranes	67	76	GO_ontology"	"[{""token"": ""membranes"", ""start_span"": 67, ""end_span"": 76, ""type"": ""GO_ontology""}]"
When we probed for the presence of sorcin in wild type and mutant vesicles we found that the sorcin levels were reduced in the mutant nanovesicles ( Fig. 2).	"vesicles	66	74	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 66, ""end_span"": 74, ""type"": ""GO_ontology""}]"
Samples of both vesicles types were normalized according to their acetylcholine esterase activity.	"vesicles	16	24	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 16, ""end_span"": 24, ""type"": ""GO_ontology""}]"
This could reflect the binding of annexin A7 to membrane subdomains that have different lipid or lipid / protein composition as discussed by Salzer et al.	"membrane subdomains	48	67	GO_ontology"	"[{""token"": ""membrane subdomains"", ""start_span"": 48, ""end_span"": 67, ""type"": ""GO_ontology""}]"
Moreover, it segregates into vesicles which are not associated with annexin A7 ( Fig. 3).	"vesicles	29	37	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 29, ""end_span"": 37, ""type"": ""GO_ontology""}]"
Association of annexin A7 and sorcin with distinct red blood cell plasma membrane fractions.	"membrane fractions	73	91	GO_ontology"	"[{""token"": ""membrane fractions"", ""start_span"": 73, ""end_span"": 91, ""type"": ""GO_ontology""}]"
Fractions were analysed by immunoblotting using mAb 203 - 217 and the sorcin polyclonal antibody.	"antibody	88	96	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 88, ""end_span"": 96, ""type"": ""GO_ontology""}]"
As annexin A7 is a component of red blood cell vesicles we studied the consequences of the loss of the protein in the anxA7 - / - mouse for red blood cell morphology and osmotic resistance.	"vesicles	47	55	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 47, ""end_span"": 55, ""type"": ""GO_ontology""}]"
The osmotic resistance, which is the resistance towards changes in the extracellular ionic strength, is a convenient assay for analysis of the red blood cell integrity.	"extracellular	71	84	GO_ontology"	"[{""token"": ""extracellular"", ""start_span"": 71, ""end_span"": 84, ""type"": ""GO_ontology""}]"
Osmotic resistance increases with higher MCV, larger surface area and a higher degree of cellular metabolism stabilizing the intracellular ion levels.	"intracellular	125	138	GO_ontology"	"[{""token"": ""intracellular"", ""start_span"": 125, ""end_span"": 138, ""type"": ""GO_ontology""}]"
Similar properties can be observed in red blood cells with lowered membrane permeability.	"membrane	67	75	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 67, ""end_span"": 75, ""type"": ""GO_ontology""}]"
We could not observe any statistically significant difference of values describing membrane rigidity and lysis force in these experiments ( M. Heil, B. Hoffmann and R. Merkel, unpublished results).	"membrane	83	91	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 83, ""end_span"": 91, ""type"": ""GO_ontology""}]"
The osmotic resistance towards changes in the extracellular ionic strength is a convenient assay for analysis of the red blood cell integrity.	"extracellular	46	59	GO_ontology"	"[{""token"": ""extracellular"", ""start_span"": 46, ""end_span"": 59, ""type"": ""GO_ontology""}]"
As we have not observed a binding of annexin A7 to F - actin ( data not shown) it could do so either by alteration of the membrane rigidity and / or by affecting the ion homeostasis.	"membrane	122	130	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 122, ""end_span"": 130, ""type"": ""GO_ontology""}]"
Platelet activation is observed as a morphological change from the resting discoid state to activated spherical cells with pseudopods.	"pseudopods	123	133	GO_ontology"	"[{""token"": ""pseudopods"", ""start_span"": 123, ""end_span"": 133, ""type"": ""GO_ontology""}]"
The morphological changes are due to cytoskeletal rearrangements.	"cytoskeletal	37	49	GO_ontology"	"[{""token"": ""cytoskeletal"", ""start_span"": 37, ""end_span"": 49, ""type"": ""GO_ontology""}]"
[ 7] not only demonstrated the presence of annexin A7 in red blood cells, they also showed that annexin A7 and sorcin were enriched in membrane raft domains of nanovesicles formed from red blood cells in vitro.	"membrane	135	143	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 135, ""end_span"": 143, ""type"": ""GO_ontology""}]"
Raft domains in general are considered key players in membrane organization and in mediating the vesiculation process.	"membrane	54	62	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 54, ""end_span"": 62, ""type"": ""GO_ontology""}]"
They result from the clustering of sphingolipids and cholesterol in the outer leaflet of the membrane connected to phospholipids and cholesterol in the inner leaflet and are enriched in special proteins.	"membrane	93	101	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 93, ""end_span"": 101, ""type"": ""GO_ontology""}]"
Biochemically rafts are defined as membranes that are resistant to extraction by cold Triton X - 100 and can be floated to low densities in sucrose gradient centrifugation [ 36].	"membranes	35	44	GO_ontology"	"[{""token"": ""membranes"", ""start_span"": 35, ""end_span"": 44, ""type"": ""GO_ontology""}]"
[ 37] that annexin A7 mediates membrane aggregation also suggested that annexin A7 is an essential component during vesiculation.	"membrane	31	39	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 31, ""end_span"": 39, ""type"": ""GO_ontology""}]"
These results were thought to support a direct role for annexin A7 in surfactant secretion, but in these studies annexin A7 mediated membrane fusion was separated from a second GTP - dependent mechanism [ 38].	"membrane	133	141	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 133, ""end_span"": 141, ""type"": ""GO_ontology""}]"
Having an annexin A7 knockout mouse we tested the involvement of annexin A7 in budding of red blood cell vesicles.	"vesicles	105	113	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 105, ""end_span"": 113, ""type"": ""GO_ontology""}]"
Likewise, Dictyostelium discoideum cells, in which the single annexin gene was inactivated, were not impaired in processes requiring membrane fusion [ [ 39]; and data unpublished].	"membrane	133	141	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 133, ""end_span"": 141, ""type"": ""GO_ontology""}]"
Similarly, the high abundance of annexin A7 in micro - and nanovesicles might be fortuitous as a significant percentage of the red blood cell membrane, with which annexin A7 associates when the Ca2 + levels rise, appears to be involved in the formation of exovesicles.	"membrane	142	150	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 142, ""end_span"": 150, ""type"": ""GO_ontology""}]"
Interestingly, in vesicles of red blood cells lacking annexin A7 the amount of sorcin is lowered, indicating that its localisation is affected by the loss of annexin A7 or its expression during red blood cell development was reduced.	"vesicles	18	26	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 18, ""end_span"": 26, ""type"": ""GO_ontology""}]"
The presence of annexin A7 may alter the membrane flexibility in that it supports the typical biconcave membrane shape and leads to a lower minimal osmotic resistance.	"membrane	41	49	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 41, ""end_span"": 49, ""type"": ""GO_ontology""}]"
Annexin A7 does not appear to have an influence on plasma membrane integrity itself as the maximal osmotic resistance value stays constant.	"plasma membrane	51	66	GO_ontology"	"[{""token"": ""plasma membrane"", ""start_span"": 51, ""end_span"": 66, ""type"": ""GO_ontology""}]"
As discussed above annexin A7 could be involved in the cytoplasmic Ca2 + homeostasis.	"cytoplasmic	55	66	GO_ontology"	"[{""token"": ""cytoplasmic"", ""start_span"": 55, ""end_span"": 66, ""type"": ""GO_ontology""}]"
The observed cell shape change of erythrocytes lacking annexin A7 might be due to alterations in the erythrocyte cytoskeleton.	"cytoskeleton	113	125	GO_ontology"	"[{""token"": ""cytoskeleton"", ""start_span"": 113, ""end_span"": 125, ""type"": ""GO_ontology""}]"
In vitro these vesicle formation is Ca2 + induced.	"vesicle	15	22	GO_ontology"	"[{""token"": ""vesicle"", ""start_span"": 15, ""end_span"": 22, ""type"": ""GO_ontology""}]"
The vesicles were assayed for acetylcholine esterase activity and used for further analysis.	"vesicles	4	12	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 4, ""end_span"": 12, ""type"": ""GO_ontology""}]"
A 30 mu l sample of red blood cell vesicles was mixed with an equal volume of buffer ( 20 mM Hepes, pH 7. 6, 150 mM NaCl, 0. 5% Triton X - 100), vortexed and incubated for 5 minutes at 37 degrees C.	"vesicles	35	43	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 35, ""end_span"": 43, ""type"": ""GO_ontology""}]"
CH and CSC planned and carried out the experiments with the red blood cells and platelets and the fractionation studies and drafted the manuscript, GL was responsible for platelets, RK gave support on the ADVIA 120 cell counter, evaluated and discussed the results, SMP and BSG gave support on the APACT system, platelet aggregation experiments, and evaluated the results, CZ was responsible for the sorcin studies, MS studied the cytoskeletal activities of the protein, AAN conceived of the studies and participated in its design.	"cytoskeletal	431	443	GO_ontology"	"[{""token"": ""cytoskeletal"", ""start_span"": 431, ""end_span"": 443, ""type"": ""GO_ontology""}]"
Olfactory receptors were originally identified in an elegant experiment based on the hypothesis that they would be seven - transmembrane - domain proteins encoded by a large, diverse gene family whose expression is restricted to the olfactory epithelium [ 3].	"transmembrane	123	136	GO_ontology"	"[{""token"": ""transmembrane"", ""start_span"": 123, ""end_span"": 136, ""type"": ""GO_ontology""}]"
In order to determine whether class I olfactory receptors are expressed in the olfactory epithelium, we designed a reverse - strand degenerate primer to recognize a motif in transmembrane domain 7 ( PP { V / M / A / T} { F / L / I / M} NP) enriched among class I olfactory receptor sequences.	"transmembrane	174	187	GO_ontology"	"[{""token"": ""transmembrane"", ""start_span"": 174, ""end_span"": 187, ""type"": ""GO_ontology""}]"
Are the favored olfactory receptors in more open chromatin conformation or more accessible genomic locations?	"chromatin	49	58	GO_ontology"	"[{""token"": ""chromatin"", ""start_span"": 49, ""end_span"": 58, ""type"": ""GO_ontology""}]"
The act of splicing itself may be important for efficient mRNA export from the nucleus [ 40] or to couple olfactory receptor coding regions with genomically distant promoters.	"nucleus	79	86	GO_ontology"	"[{""token"": ""nucleus"", ""start_span"": 79, ""end_span"": 86, ""type"": ""GO_ontology""}]"
The ' X ' on sequence CB173500 marks an exon that does not align with genomic sequence near the rest of the gene or anywhere else in Celera ' s mouse genome sequence, and ' TM4 ' on sequence CB172879 notes an exon that matches to the reverse - complement of the fourth transmembrane domain of the next downstream olfactory receptor gene.	"transmembrane	269	282	GO_ontology"	"[{""token"": ""transmembrane"", ""start_span"": 269, ""end_span"": 282, ""type"": ""GO_ontology""}]"
Immunostaining of Acdp1 in hippocampus neurons revealed a predominant localization on the plasma membrane.	"plasma membrane	90	105	GO_ontology"	"[{""token"": ""plasma membrane"", ""start_span"": 90, ""end_span"": 105, ""type"": ""GO_ontology""}]"
Acdp showed strong homology to bacteria CorC protein and predominantly localized on the plasma membrane.	"plasma membrane	88	103	GO_ontology"	"[{""token"": ""plasma membrane"", ""start_span"": 88, ""end_span"": 103, ""type"": ""GO_ontology""}]"
Chromosomal location	"Chromosomal	0	11	GO_ontology"	"[{""token"": ""Chromosomal"", ""start_span"": 0, ""end_span"": 11, ""type"": ""GO_ontology""}]"
Radiation hybrid mapping indicated that the Acdp1 gene maps to chromosome 19 between markers D19Mit119 ( 34. 3 cR proximal) and D19Mit112 ( 13. 6 cR distal).	"chromosome	63	73	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 63, ""end_span"": 73, ""type"": ""GO_ontology""}]"
The Acdp2 gene maps slightly more distal to the Acdp1 on chromosome 19 between D19Mit9 ( 2. 4 cR proximal) and D19Mit38 ( 15. 1 cR distal).	"chromosome	57	67	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 57, ""end_span"": 67, ""type"": ""GO_ontology""}]"
The Acdp3 and Acdp4 genes map to chromosome 1 within one BAC clone ( RP23 - 294I17), proximal to marker D1Mit171 ( 17. 4 cR).	"chromosome	33	43	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 33, ""end_span"": 43, ""type"": ""GO_ontology""}]"
We found that all mouse Acdp members contain four distinct transmembrane domains ( Fig. 5), two CBS domains and a DUF21 domain that are found in bacteria CorC and yeast Amip3 proteins.	"transmembrane	59	72	GO_ontology"	"[{""token"": ""transmembrane"", ""start_span"": 59, ""end_span"": 72, ""type"": ""GO_ontology""}]"
CBS domains are small intracellular modules that are mostly found in 2 or four copies within a protein.	"intracellular	22	35	GO_ontology"	"[{""token"": ""intracellular"", ""start_span"": 22, ""end_span"": 35, ""type"": ""GO_ontology""}]"
This domain is a transmembrane region and found to be located in the N - terminus of the proteins adjacent to two intracellular CBS domains.	"intracellular	114	127	GO_ontology"	"[{""token"": ""intracellular"", ""start_span"": 114, ""end_span"": 127, ""type"": ""GO_ontology""}]"
Four transmembrane domains within Acdp4 protein.	"transmembrane	5	18	GO_ontology"	"[{""token"": ""transmembrane"", ""start_span"": 5, ""end_span"": 18, ""type"": ""GO_ontology""}]"
Transmembrane domains were predicted by the TMHMM program.	"Transmembrane	0	13	GO_ontology"	"[{""token"": ""Transmembrane"", ""start_span"": 0, ""end_span"": 13, ""type"": ""GO_ontology""}]"
Antibody production, Western results and subcellular localization	"Antibody	0	8	GO_ontology"	"[{""token"": ""Antibody"", ""start_span"": 0, ""end_span"": 8, ""type"": ""GO_ontology""}]"
These antigenic sites were predicted by software from Sigma Genosys and polyclonal antibodies for each peptide were produced by immunizing rabbits.	"antibodies	83	93	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 83, ""end_span"": 93, ""type"": ""GO_ontology""}]"
To test the specificity of the antibodies, we conducted Western - blot analysis of mouse brain tissue extracts.	"antibodies	31	41	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 31, ""end_span"": 41, ""type"": ""GO_ontology""}]"
6A, the antibody produced by C - terminal peptide specifically detected Acdp1 ( lane 3).	"antibody	8	16	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 8, ""end_span"": 16, ""type"": ""GO_ontology""}]"
The antibody generated by N - terminal peptide recognized Acdp4 in addition to Acdp1, although the reactivity to latter was significantly higher ( Fig. 6A, lane 2).	"antibody	4	12	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 4, ""end_span"": 12, ""type"": ""GO_ontology""}]"
As expected, the antibody produced by the conserved sequence peptide detected all Acdp proteins ( Fig. 6A, lane 1).	"antibody	17	25	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 17, ""end_span"": 25, ""type"": ""GO_ontology""}]"
To further determine the specificity of the antibody against the Acdp1 C - terminus, we analyzed extracts of HEK293, 3T3 and PC12 cells.	"antibody	44	52	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 44, ""end_span"": 52, ""type"": ""GO_ontology""}]"
Apparently, this antibody detected a specific band of Acdp1 in all cell lysates.	"antibody	17	25	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 17, ""end_span"": 25, ""type"": ""GO_ontology""}]"
Nevertheless, these immunoblot results support our analysis of brain tissue extracts that the antibody against Acdp1 C - terminus specifically recognizes Acdp - 1.	"antibody	94	102	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 94, ""end_span"": 102, ""type"": ""GO_ontology""}]"
The specificity of the Acdp1 C - terminus antibody suggests the possibility of using it to localize Acdp - 1 within cells.	"antibody	42	50	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 42, ""end_span"": 50, ""type"": ""GO_ontology""}]"
Immunostaining was using the Acdp1 C - terminus specific antibody.	"antibody	57	65	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 57, ""end_span"": 65, ""type"": ""GO_ontology""}]"
Confocal imaging revealed that Acdp1 is predominantly localized on the plasma membrane.	"plasma membrane	71	86	GO_ontology"	"[{""token"": ""plasma membrane"", ""start_span"": 71, ""end_span"": 86, ""type"": ""GO_ontology""}]"
Lane 1, probed with antibody generated by conserved peptide.	"antibody	20	28	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 20, ""end_span"": 28, ""type"": ""GO_ontology""}]"
Lane 2 and 3, probed with the Acdp1 antibodies generated by N - terminal and C - terminal peptides, respectively.	"antibodies	36	46	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 36, ""end_span"": 46, ""type"": ""GO_ontology""}]"
The blots were probed with the antibody against the C - terminus of Acdp - 1.	"antibody	31	39	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 31, ""end_span"": 39, ""type"": ""GO_ontology""}]"
A series of confocal images from a cultured neuron stained with an anti - Acdp1 antibody.	"antibody	80	88	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 80, ""end_span"": 88, ""type"": ""GO_ontology""}]"
Acdp proteins also possess the domains that are found in bacteria CorC and yeast Amip3 proteins, such as the CBS domains, DUF21 domain and transmembrane domains.	"transmembrane	139	152	GO_ontology"	"[{""token"": ""transmembrane"", ""start_span"": 139, ""end_span"": 152, ""type"": ""GO_ontology""}]"
In our previous study, we found human ACDP proteins are predominantly localized in the nucleus in HeLa cells [ 1].	"nucleus	87	94	GO_ontology"	"[{""token"": ""nucleus"", ""start_span"": 87, ""end_span"": 94, ""type"": ""GO_ontology""}]"
The discrepancy for Acdp localization in neuronal cells could be caused by non - specificity for previous antibody which was produced by the recombinant ACD domain, or different cells used.	"antibody	106	114	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 106, ""end_span"": 114, ""type"": ""GO_ontology""}]"
We have generated antibodies specific for Acdp1 and all Acdp proteins.	"antibodies	18	28	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 18, ""end_span"": 28, ""type"": ""GO_ontology""}]"
The Acdp1 C - terminus antibody appears to specifically recognize Acdp1.	"antibody	23	31	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 23, ""end_span"": 31, ""type"": ""GO_ontology""}]"
Antibody production and Western blot analyses	"Antibody	0	8	GO_ontology"	"[{""token"": ""Antibody"", ""start_span"": 0, ""end_span"": 8, ""type"": ""GO_ontology""}]"
